mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,rms_std,spectral_centroid_std,spectral_bandwidth_std,zero_crossing_rate_std,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,key_strength,mode_major_minor,tempo_confidence,beat_strength,onset_rate,rhythmic_entropy,inter_beat_interval_entropy,syncopation_index,rhythm_complexity,danceability,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,spectral_flatness,spectral_rolloff,harmonic_rms,percussive_rms,harmonic_energy_ratio,spectral_flux_mean,spectral_flux_std,spectral_flux_peak_rate,ssm_mean,ssm_std,ssm_diagonal_energy,ssm_repetition_score,novelty_mean,novelty_std,novelty_peak_count,num_segments,mean_segment_duration,segment_duration_std,section_repetition_ratio,fractal_dimension_higuchi
107.05405,37.073685,30.284302,25.358063,21.8269,19.2972,15.536392,16.219084,14.103123,12.898718,15.462862,14.044657,11.764136,-6.7696493e-09,-5.923443e-09,-2.327067e-09,8.4620616e-10,-5.5003397e-09,-2.9617215e-09,1.2693092e-09,-6.346546e-10,2.1155154e-10,0.0,-1.0577577e-10,1.6924123e-09,5.2887883e-10,0.08110978,1252.845018077118,607.2152146164252,0.0949920204617942,0.3474832,0.30588153,0.337848,0.42110398,0.604918,0.49431425,0.28332907,0.24622817,0.2759547,0.3472798,0.33046672,0.35151926,0.0525863535067056,0.0808223658173488,-0.1317162277420658,0.0553162382164022,0.0054171212896999,-0.0261399951777163,0.60491735,0,123.046875,1.8392197899334444,1.7777297,1.4618056887712618,0.9845396156814272,0.7107800878846658,1.4618056887712618,0.84818363,20.27588226745343,18.10200611992347,20.41844915228679,19.97712711382202,19.04445932703696,18.27449723671677,47.29994415711153,0.050949857,5732.8391697095785,0.07699067,0.06299358,0.5499913,53.25674,46.519028,0.4149750415973378,0.69160676,0.2743557,1.0,0.4344432238772597,53.25674,46.519028,3741,8,26.165986394557823,0.4,0.4344432238772597,-0.8052532226544312
98.66904,39.14628,31.860971,24.49252,19.87406,21.078936,16.88111,16.133532,16.368576,15.132234,13.68833,11.452076,10.6547365,0.005830073,0.0037934503,-0.0011803664,-0.0016370522,-0.0016172557,-0.0012169988,-0.00064532936,-7.664359e-05,0.0006303961,0.0006597381,0.0001537951,-0.00036141733,-0.00073906616,0.1122565,1015.1749280490916,603.4177112681737,0.0765702516356366,0.42191172,0.47255185,0.42591637,0.4102353,0.463277,0.4265385,0.5021695,0.44858754,0.38380444,0.3718594,0.3833251,0.4787722,0.0280217324929085,-0.073725159883107,0.0125167707358383,-0.0597193416055748,0.0130335699763745,0.0063304358885826,0.502169,0,143.5546875,2.314058762793414,1.8893602,1.6337625345700453,0.7573198455623037,0.5174466849628734,1.6337625345700453,0.8981653,20.514778728407546,14.996276961657973,17.535630731852347,18.5804109098414,18.928094664297625,18.193172545807275,47.28759802683644,0.03547821,5352.693213270822,0.118626915,0.10378923,0.53335327,90.48764,66.174736,0.3836911781065747,0.5801789,0.28579548,1.0,0.2519314873404017,90.48764,66.174736,3449,8,26.09052154195012,0.4,0.2519314873404017,-0.0543439381264388
86.089264,45.300095,23.456953,20.422207,14.036377,13.950763,10.349044,11.482922,12.601522,12.050525,10.906841,9.217597,8.852455,4.2807655e-09,-1.0701914e-08,5.350957e-10,-1.872835e-09,-1.3377392e-10,9.364175e-10,-6.019827e-10,-1.6721741e-09,-2.6754785e-09,1.3377392e-10,1.872835e-09,9.364175e-10,-1.3377393e-09,0.14887165,920.88500989239,792.421134556697,0.0322248195202098,0.30923757,0.38504872,0.42405903,0.36646628,0.4819205,0.3623947,0.36552307,0.3523613,0.31305152,0.42139158,0.33983967,0.37387687,0.166675946823987,-0.0821004321674451,-0.0008454484482826,0.0011447683799871,0.0023785265686708,-0.0133088027613846,0.4819209,0,103.359375,1.7096802563801186,1.9263912,1.5943970645998835,1.1014071812673012,0.914268025159957,1.5943970645998835,0.803504,20.43129344776056,16.49142495270994,20.308774711054163,18.523833834197404,18.74149065134805,18.038693561220832,47.67911039251754,0.026758766,3822.250782729433,0.21925156,0.13444643,0.61988175,113.19083,99.081116,0.3515712682379349,0.7860975,0.21497296,1.0,0.6565332368304119,113.19083,99.081116,2506,8,20.691003401360543,0.4,0.6565332368304119,1.7464346350823429e-15
88.436424,36.125717,24.107718,18.800638,16.62643,15.215686,12.975832,11.942526,12.531379,10.690604,9.843697,9.353125,8.822371,-4.711684e-09,7.067526e-09,2.9448026e-09,-2.9448026e-09,-2.6503224e-09,-1.4724013e-09,-1.4724013e-09,2.9448025e-10,0.0,1.177921e-09,9.570609e-10,-5.889605e-10,1.3987812e-09,0.08566705,870.8885649843515,541.4657519497497,0.0546183826218296,0.5389504,0.3694195,0.41284725,0.31900236,0.3268539,0.43710485,0.3561667,0.44628307,0.36274284,0.4442995,0.52073944,0.41142324,-0.0559879901727839,0.1843458897815363,0.0290954459910227,-0.044273933087388,0.0184968586627585,-0.013192726831492,0.5389504,0,92.28515625,1.4962849608168625,1.7018422,1.552290426648005,0.9587609787485222,0.6356239903770602,1.552290426648005,0.93946666,19.65173779231293,15.756313287937092,19.0529318928232,18.288307735386223,18.84423206889845,19.302137682491363,47.58724037502002,0.023648389,4779.98211972412,0.1464603,0.06360567,0.6972077,61.375744,36.670013,0.4255713403335392,0.72715205,0.23605517,1.0,0.4986280952954063,61.375744,36.670013,2756,8,18.79655328798185,0.4,0.4986280952954063,1.7464346350823429e-15
84.21885,35.737614,25.717587,19.86901,16.251385,15.568279,13.3498125,13.12343,11.837771,12.535869,11.491897,9.916029,9.716615,0.014977402,0.008404058,-0.001976665,0.0017571477,0.00120775,0.0015260654,0.002055051,0.00045668829,0.00087934826,0.00051186956,0.00079555076,0.0006390299,-0.0004067506,0.09399727,821.9390683850042,588.0024448889735,0.0544177617150907,0.371021,0.4186064,0.40104082,0.36939758,0.46105832,0.35422,0.4114117,0.34513706,0.40817055,0.44344267,0.40511388,0.5194983,0.0642178457813597,-0.0571024564532365,0.0440159878194963,0.0205859695415192,0.0046395739092136,-0.0083802244202535,0.5194989,1,123.046875,1.8760262725779968,1.8020158,1.3404181497846337,0.788692571267051,0.6782664657670904,1.3404181497846337,0.95650685,19.44191065419649,14.65827731100772,17.834459209949024,17.64924040877934,18.26726396851468,24.73509175649836,54.179341267639074,0.007837687,4168.272707521625,0.14655028,0.08403183,0.6355638,81.963806,54.544403,0.3592945662535748,0.7373471,0.21187423,1.0,0.5051544332914557,81.963806,54.544403,3769,8,30.45,0.0,0.5051544332914557,-0.0577981174281871
100.0778,34.866604,32.73295,20.305916,18.97976,16.140884,16.280432,14.859567,16.303543,13.516304,11.543731,11.4497385,10.826243,-0.016857376,-0.010349177,0.0036441416,6.9054804e-05,8.1787985e-05,0.0010250495,-0.00045297117,0.00019755278,-0.0007507554,0.00090106635,8.160138e-05,-0.0002208239,0.0015374064,0.15411346,1008.5057311038536,743.9163288470006,0.0708922907656,0.44366187,0.31539437,0.42448974,0.3865976,0.31534573,0.43731108,0.35769573,0.5004042,0.3810856,0.3642894,0.42049223,0.36419767,-0.042455207841764,0.2137317279065949,0.0272848214110939,0.0114766069692819,0.0029154911629,-0.0136354245945587,0.5004043,1,103.359375,1.7125051858347573,1.6957353,1.5837055028749685,0.9369054238291804,0.9270928398962252,1.5837055028749685,0.86530393,19.512485129586786,16.00695012278243,18.69301019550117,18.27212798623321,18.93830153755287,24.71152024280171,51.22628420707836,0.018206766,5652.712394049052,0.1851946,0.090582505,0.6715348,80.9989,70.34719,0.3809463881198087,0.57386065,0.31168294,1.0,0.2514968100053948,80.9989,70.34719,3027,8,23.06562358276644,0.4,0.2514968100053948,-0.1720583209453777
92.597,35.173206,24.279705,20.211859,17.822927,17.56355,15.480543,14.900246,13.69528,13.237924,12.290993,11.710723,10.251814,0.008589573,0.005845452,-0.00070195785,0.00066981744,0.00057435397,-0.0012245021,-0.0005128415,-0.0003457663,-0.00092048064,-0.0003844953,-0.00022770524,-0.0006239225,-0.00042356405,0.13752459,892.9951198500937,603.5446380867186,0.0547896094547655,0.31473503,0.4606533,0.3388009,0.2765931,0.38661617,0.3021764,0.42211938,0.24654241,0.34063604,0.42316285,0.3053018,0.42098442,0.1418028362689211,-0.2500147536661476,-0.0435103867049952,-0.0874179687988835,-0.0061416965931178,0.0192121073459449,0.46065307,1,117.45383523,1.9348491063433864,1.5140784,1.3678957019974742,0.8663459656624404,0.5769377287516763,1.3678957019974742,0.93699145,19.22459484290429,15.985649868389624,20.425614906457326,19.935623664305457,19.31949041306098,21.296947541977943,48.3758865022324,0.014875537,4967.904819076973,0.18722776,0.09862716,0.6549725,89.49356,82.28241,0.3409818569903949,0.65159917,0.26929212,1.0,0.3568888029867025,89.49356,82.28241,3195,8,27.198503401360544,0.4,0.3568888029867025,-0.0670594677974583
96.953125,34.74112,28.120392,21.673052,19.506662,22.075163,14.846737,15.199868,16.856655,12.518779,12.596319,11.507513,11.593075,0.0024828983,0.0031952993,0.0024079885,0.0015136254,0.0008294264,0.00045301282,0.00028366325,0.00017053288,3.523947e-05,-0.00011323716,-0.00023282845,-0.00029348885,-0.0002859426,0.19628994,1037.4578867550051,571.1622124990547,0.0772989367528483,0.4041399,0.32475427,0.42979255,0.4730069,0.37665913,0.48236653,0.36095405,0.49291426,0.3422817,0.32918027,0.40486008,0.3520959,-0.0953219004713005,0.1907073520563941,-0.0070677896462295,0.0997734985489191,0.0278890760895796,0.0281933183246962,0.49291548,1,123.046875,1.920988477674085,1.6508994,1.685705610898972,0.8902842461087402,0.5942861815398219,1.685705610898972,0.94673604,21.87959522030211,16.697328719649434,20.28707477374324,19.49607960223573,18.84356614947201,21.15293526521249,47.38254380098037,0.030837588,5832.426310506885,0.21257219,0.07949842,0.7278085,76.94788,71.56482,0.3496442991732359,0.64038664,0.2903136,1.0,0.3303451598457765,76.94788,71.56482,3637,8,30.19278911564626,0.4,0.3303451598457765,-0.0056180612962988
87.98198,45.852833,32.19538,21.905235,18.689941,14.692845,15.613357,14.205217,13.362861,13.968192,11.344287,10.226052,9.202561,-2.9519809e-09,2.2139857e-09,2.9519809e-09,-1.1069928e-09,-1.6604892e-09,-6.457458e-10,2.767482e-10,-9.22494e-11,-1.844988e-10,1.844988e-10,-3.228729e-10,1.1761798e-09,-1.4759904e-09,0.12516627,1091.5806729054914,648.5788832017109,0.0768360905148143,0.46591902,0.36838424,0.42798045,0.3616365,0.5245372,0.35190624,0.41052592,0.42795178,0.35895982,0.42699644,0.35221854,0.452651,0.1628791837271561,-0.018878282571019,0.0139414397981621,0.0850418966083712,0.009290593522447,0.0135823219227795,0.5245366,0,129.19921875,2.103928126062805,1.7614654,1.8115087781236887,0.93227306203809,0.6379608511649031,1.8115087781236887,0.9848855,23.46737885153417,15.090729543824107,18.703972749627216,18.96577087053908,19.1073101573642,21.41337450972238,49.72610423700951,0.023959367,4650.606362845962,0.16742554,0.11625536,0.59018755,104.75213,76.7699,0.4035987230337622,0.62239844,0.28736648,1.0,0.3254225218191953,104.75213,76.7699,4172,8,30.003401360544217,0.4,0.3254225218191953,-0.9964260154449835
86.32871,36.2543,27.908348,20.207647,18.950546,17.551498,15.430494,14.686165,13.538454,14.09788,12.637444,11.086988,10.660215,0.0030153398,0.00350016,0.0019208135,0.00081325293,0.0005971443,0.0005989988,0.00013438577,-0.00063663046,-0.0010720303,-0.00094488467,-0.0006668399,-0.00067183806,-0.000858223,0.14659563,1020.4131251430476,546.4837517517468,0.0768094157803037,0.3601002,0.29634166,0.41123933,0.3454173,0.474836,0.3531335,0.46667498,0.49456337,0.3288703,0.38581672,0.3485263,0.4727634,0.189024769682066,-0.0327123908210953,0.0932922759232375,0.0881212113209218,0.0310366165067076,-0.0206455771870064,0.49456328,1,143.5546875,2.254115743248093,1.6461312,1.499105534795953,0.9787697893393148,0.6543719635395961,1.499105534795953,0.97598386,22.294233713299903,15.653597157436236,19.55124455173867,18.338936739533143,18.76029492038305,19.685164513620368,48.18794471675012,0.028065085,5546.214569703508,0.18464899,0.12180926,0.6025238,102.574455,75.98696,0.3956564109703466,0.5028961,0.30856013,1.0,0.1669167997678582,102.574455,75.98696,2842,8,20.85074829931973,0.4,0.1669167997678582,-0.0245944888736289
