file_name,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,playcount,listeners
4Keus - American Girl.mp3,4Keus,American Girl,,2018-09-25,168.44,135.99917763157896,0.2906189262866974,0.0,2184.472330394562,2405.722978223634,0.0802304294456269,-85.4257583618164,99.03081512451172,30.059749603271484,16.89562225341797,10.40792465209961,-2.805310964584351,2.8556687831878658,7.758290767669678,-20.9107437133789,-5.812406063079834,-7.161701202392578,-6.423738956451416,-2.962851047515869,23103.0,2985.0
4Keus - Fais crier le pompe.mp3,4Keus,Fais crier le pompe,,2018-09-25,172.28,135.99917763157896,0.2871356010437011,3.0,2671.038924450751,2711.2243360696443,0.1110936215049342,-50.10173797607422,74.92097473144531,12.6561279296875,21.935043334960938,14.234227180480957,13.196284294128418,9.260751724243164,14.16935920715332,-5.807360649108887,6.225970268249512,-0.1612778007984157,5.849836826324463,2.9487807750701895,1165.0,293.99999999998545
4Keus - Frérot.mp3,4Keus,Frérot,,2018-09-25,198.2133333333333,143.5546875,0.2451743930578231,10.0,2584.702568446776,2748.3148210769327,0.1172285050430534,-107.52404022216795,74.32727813720703,13.074220657348633,0.8716629147529602,1.9279048442840576,4.803294658660889,-0.18317671120166779,5.631179332733154,-0.9958983659744263,10.460335731506348,3.1642098426818848,5.358376979827881,3.894984006881714,773.0,210.00000000001455
4Keus - Lunettes quartier.mp3,4Keus,Lunettes quartier,,2018-09-25,253.38666666666663,123.046875,0.2874619662761688,9.0,2289.964908408618,2443.16171812401,0.0916475939676857,-73.97034454345703,88.62860870361328,12.181695938110352,21.19330596923828,1.6819493770599365,15.97458839416504,-3.5280044078826904,-7.935036659240723,-14.187995910644531,-5.3097100257873535,-16.835330963134766,-4.253750324249268,-4.513169288635254,4674.0,816.0
4Keus - Moula.mp3,4Keus,Moula,,2018-09-25,247.24,123.046875,0.1960726529359817,7.0,2180.796919463828,2317.7590579641123,0.0844983552631579,-127.91477966308594,91.73204803466795,-5.274721622467041,19.813575744628903,-3.219862699508666,-9.859631538391112,-6.252700805664063,2.536973714828491,-16.547351837158203,2.195859909057617,-6.480205535888672,-4.127508640289307,-6.07896900177002,3966.0,748.0
4Keus - À l'époque du carré.mp3,4Keus,À l'époque du carré,,2018-09-25,223.68,99.38401442307692,0.2382251024246215,3.0,2005.4446117953128,2220.124398993758,0.0770560344306308,-147.9731903076172,103.84081268310548,29.90268325805664,7.678600788116455,6.8341240882873535,6.686351776123047,-7.356118679046631,-5.268757820129395,-11.111056327819824,-0.4304274916648866,-6.971147537231445,-4.428976058959961,-4.279638290405273,1235.0,300.0
4Keus feat. Hocine Staifi - Unis.mp3,"4Keus,  feat. , Hocine Staifi",Unis,,2018-09-25,196.4,99.38401442307692,0.2527146935462951,2.0000000000000004,2754.081367331997,2810.207685121354,0.1142757640165441,-31.845020294189453,69.17923736572266,-0.3793695867061615,12.786531448364258,9.279298782348633,16.024465560913086,2.5267798900604244,5.9948248863220215,-2.269458293914795,3.170588493347168,0.21064436435699463,4.125170230865479,-0.8440404534339905,41.0,14.0
4Keus feat. Melina - Vendeur de rêves.mp3,"4Keus,  feat. , Melina",Vendeur de rêves,,2018-09-25,220.22666666666663,129.19921875,0.2449622601270675,6.0,2376.42876069697,2661.8883181403367,0.0900021012722523,-78.08396911621094,87.45406341552734,7.521330833435059,12.709930419921877,16.26466941833496,2.533212900161743,1.5631798505783077,6.584189414978027,-14.45720672607422,2.1936275959014893,-5.881719589233398,-5.057873249053955,-9.62370777130127,32.0,21.0
"4Keus feat. Naza, KeBlack & Dry - Mignon Garçon.mp3","4Keus,  feat. , Naza, , , KeBlack,  & , Dry",Mignon Garçon,,2018-03-16,315.9510204081633,117.45383522727272,0.2525381445884704,11.0,2401.368401323763,2478.598016230855,0.1028368687113003,-40.29335021972656,87.30140686035156,-13.177612304687502,18.012414932250977,4.418230056762695,3.519047975540161,3.5749342441558833,1.0774683952331543,-4.628141403198242,4.447378635406494,-3.8491060733795166,5.2576165199279785,-2.599197626113892,6716.0,1008.0
4Keus feat. Niska - MD.mp3,"4Keus,  feat. , Niska",MD,,2020-01-03,212.11428571428573,151.99908088235293,0.3412940800189972,2.0000000000000004,2508.6043943077366,2681.058498966757,0.0823434174245356,-48.98530578613281,83.62088775634766,21.019773483276367,17.358196258544922,-1.917657494544983,9.22685432434082,-5.460862636566162,3.298581600189209,-16.64613914489746,-1.9142272472381592,-2.7824034690856934,2.758888006210327,-1.942699670791626,4962.0,626.0
